date,year,doy,DOR,solar rad kW-hr/m2,wind speed m/s,wind dir. Deg.,wind gust m/s,air temp ave. deg. C ,air temp max deg. C,air temp min deg. C,relative humidity ave. %,relative humidity max %,relative humidity min %,ASCE Et. Total mm,Penman Et. Total mm,Growing Degree Days 40,Growing Degree Days 50,Precip total mm
01/20/15,2015,20,20,2.444,1.44,303,7.64,11,19.1,4.6,86,99,54,2.03,2.34,339,85,0
01/21/15,2015,21,21,3.634,1,294,5.13,10.7,21.4,1.7,70,100,25,2.73,2.65,324,70,0.25
01/22/15,2015,22,22,2.385,1.04,310,8.95,12,21.5,5.8,48,66,20,2.59,2.73,420,166,0
01/23/15,2015,23,23,3.747,1.04,286,5.85,12.5,22.8,5,46,64,18,3.15,3.13,433,179,0
01/24/15,2015,24,24,3.82,1.35,313,7.51,14,25.8,5.7,41,60,15,3.79,3.97,515,261,0
01/25/15,2015,25,25,3.651,1.4,315,5.52,15.5,25.9,7.3,33,54,16,3.82,4.06,556,302,0
01/26/15,2015,26,26,1.901,2.07,97,11.23,16.6,23.3,11.3,44,89,25,3.07,3.04,589,335,1.27
01/27/15,2015,27,27,3.42,1.4,299,5.36,13.2,18.5,9,83,97,52,2.44,2.26,425,171,0.76
01/28/15,2015,28,28,2.41,1.03,304,5.91,13.4,20.1,7.9,74,96,43,2.12,2.07,436,182,0
01/29/15,2015,29,29,2.705,0.9,304,5.91,13.8,22.6,7.7,68,89,33,2.44,2.45,489,235,0
01/30/15,2015,30,30,2.978,1.21,302,8.59,12,19.4,7,74,94,49,2.3,2.34,402,148,0
01/31/15,2015,31,31,3.568,1.47,316,6.5,13,20.7,6.8,76,99,36,2.86,2.79,426,172,0
02/01/15,2015,32,32,3.878,1.15,299,4.77,13.4,24.5,5.6,66,91,23,3.29,3.31,485,231,0
02/02/15,2015,33,33,3.95,1.06,279,6.6,14.4,25.6,6.3,58,87,26,3.32,3.4,527,273,0
02/03/15,2015,34,34,3.868,1.07,291,6.43,15,26.4,7.8,59,88,25,3.37,3.44,578,324,0
02/04/15,2015,35,35,4.115,0.89,272,5.2,14.8,27.5,7.4,63,95,21,3.41,3.38,594,340,0
02/05/15,2015,36,36,3.776,1.37,280,6.21,13.9,24.2,3.4,64,100,23,3.37,3.56,428,174,0
02/06/15,2015,37,37,4.048,2.89,186,12.18,14.5,21.7,5.7,55,97,20,4.19,3.71,423,169,0
02/07/15,2015,38,38,0.805,1.78,140,7.45,15.5,17.6,11.1,83,98,39,1.49,1.42,452,198,19.81
02/08/15,2015,39,39,2.333,1.64,210,7.18,15,21.6,8.4,89,100,68,1.99,2.67,483,229,4.06
02/09/15,2015,40,40,4.294,2.96,298,12.05,13.8,18.8,7.9,86,98,70,2.64,3.08,408,154,0.25
02/10/15,2015,41,41,4.397,1.21,273,5.36,13.6,23.3,7.7,72,97,33,3.33,3.28,504,250,0.25
02/11/15,2015,42,42,4.359,0.98,295,5.75,15.6,26.2,8.2,59,86,25,3.52,3.56,585,331,0
02/12/15,2015,43,43,4.478,1.4,285,7.51,16.6,26.9,9.6,45,65,15,4.27,4.45,632,378,0
02/13/15,2015,44,44,4.557,1.17,295,7.05,17,27.4,9,39,65,14,4.11,4.27,628,374,0
02/14/15,2015,45,45,4.381,1.42,282,6.73,17.4,27.5,9.8,43,67,17,4.28,4.54,650,396,0
02/15/15,2015,46,46,4.558,1.2,283,7.28,15.9,26.8,7.9,58,85,28,3.81,4.05,591,337,0
02/16/15,2015,47,47,4.607,1.3,260,5.85,14.2,23.5,6.7,75,99,43,3.32,3.57,486,232,0
02/17/15,2015,48,48,3.62,1.45,317,5.95,11.3,17.6,6.5,89,100,66,2.28,2.54,349,95,0
02/18/15,2015,49,49,3.827,1.27,321,4.77,12.2,23,6.5,86,100,47,2.9,3.26,470,216,0
02/19/15,2015,50,50,4.433,1.52,307,6.08,12,20.9,4.4,87,100,54,2.93,3.47,374,120,0.25
02/20/15,2015,51,51,4.194,1.63,316,6.33,12.2,20.4,7,86,100,51,2.94,3.25,424,170,0
02/21/15,2015,52,52,4.389,1.99,285,8.2,12.4,19,4.8,83,100,55,2.88,3.48,341,87,0.25
02/22/15,2015,53,53,1.78,1.37,203,7.35,11.1,14,6.4,87,97,68,1.37,1.59,264,10,4.57
02/23/15,2015,54,54,5.041,1.79,305,8.49,8.9,16.1,3.1,68,98,19,3.38,3.23,236,0,0.25
02/24/15,2015,55,55,5.016,1.89,339,9.54,10.6,21.6,1.7,59,89,22,4,4.53,330,76,0
02/25/15,2015,56,56,5.069,1.92,296,12.02,10.5,21.8,2.3,69,95,27,3.93,4.5,348,94,0
02/26/15,2015,57,57,4.715,2.09,311,11.99,11.3,24.2,2.2,74,98,24,4.26,4.96,402,148,0
02/27/15,2015,58,58,4.277,3.03,309,11.99,11.3,17.8,6.6,83,100,53,2.98,3.19,353,99,0.25
02/28/15,2015,59,59,2.862,1.81,299,7.55,9.7,13.7,4.8,75,97,50,2.1,2.21,219,0,1.02
03/01/15,2015,60,60,2.425,1.19,316,6.01,8.4,13.6,3.6,83,97,56,1.74,1.87,191,0,4.32
03/02/15,2015,61,61,3.616,1.22,322,8.95,6.9,14,1.9,85,97,58,2.11,2.36,161,0,8.89
03/03/15,2015,62,62,5.23,1.7,358,9.24,9.3,17.7,1.8,68,97,37,3.27,3.67,241,0,0.25
03/04/15,2015,63,63,5.357,1.49,302,7.64,11.5,21.3,3.1,59,90,26,3.79,4.17,354,100,0
03/05/15,2015,64,64,5.543,1.43,289,8.3,12,23,2.5,47,84,16,4.17,4.55,380,126,0
03/06/15,2015,65,65,5.698,2.08,360,12.67,16.3,27.4,3.7,32,68,9,5.59,6.45,509,255,0
03/07/15,2015,66,66,5.613,1.53,292,9.5,17.1,29.2,7.5,34,68,9,5.21,5.82,636,382,0
03/08/15,2015,67,67,5.722,1.72,274,10.39,14.2,24.2,5.5,56,99,22,4.44,4.85,476,222,0
03/09/15,2015,68,68,5.664,1.62,301,7.45,14.3,26.4,2.9,68,100,17,4.69,5.32,467,213,0
03/10/15,2015,69,69,4.603,1.53,213,9.67,17.1,29,8.4,51,88,11,4.67,5.15,652,398,0
03/11/15,2015,70,70,1.576,1.51,295,7.32,14.2,19,8.5,75,99,41,1.87,2.13,425,171,0
03/12/15,2015,71,71,5.752,1.76,11,8.98,17,28.3,8.1,60,100,22,4.96,5.59,628,374,0
03/13/15,2015,72,72,5.322,1.92,304,11.47,19.6,30.5,9.9,40,63,14,5.63,6.67,720,466,0
03/14/15,2015,73,73,5.54,2.02,1,11.23,21.8,30.9,13.8,29,53,12,6.01,7.01,818,564,0
03/15/15,2015,74,74,4.611,1.3,299,7.68,20.7,30.6,12.1,35,59,16,4.66,5.43,773,519,0
03/16/15,2015,75,75,5.135,1.4,296,7.48,18.9,29.4,10,44,65,16,4.84,5.6,699,445,0
03/17/15,2015,76,76,2.5,1.63,347,10.19,14.7,24.5,8.7,67,95,28,3.1,3.54,555,301,0
03/18/15,2015,77,77,5.235,1.67,288,9.67,14.4,23.8,7.7,76,99,40,3.88,4.53,516,262,0
03/19/15,2015,78,78,5.989,1.81,291,8.36,15.5,27.4,6.9,63,96,23,4.98,5.8,580,326,0
03/20/15,2015,79,79,5.692,1.74,292,7.68,16.1,26.4,7.1,58,93,19,4.8,5.46,564,310,0
03/21/15,2015,80,80,6.048,1.72,289,9.34,14.1,25.1,6.3,66,98,27,4.58,5.3,515,261,0
03/22/15,2015,81,81,5.622,2.46,296,8.88,14.1,22.6,8.3,75,97,28,4.5,4.78,504,250,0
03/23/15,2015,82,82,5.962,3.61,293,13.59,13.2,22.8,4.9,71,98,31,4.95,5.21,431,177,0
03/24/15,2015,83,83,6.002,3.91,351,15.42,17.2,24.8,7.3,46,92,22,5.85,5.61,530,276,0
03/25/15,2015,84,84,6.229,2.69,321,21.27,19.5,28.2,10.6,46,78,21,6.02,6.53,682,428,0
03/26/15,2015,85,85,6.383,1.62,286,8.2,20.9,32.3,10.6,34,77,11,5.94,6.91,778,524,0
03/27/15,2015,86,86,6.5,1.64,259,7.87,19.4,31.4,9.2,46,89,12,5.81,6.71,724,470,0
03/28/15,2015,87,87,6.41,1.73,286,8.2,17.3,29.3,5.6,60,100,19,5.38,6.44,596,342,0
03/29/15,2015,88,88,6.399,1.92,287,10.39,18.8,29.2,10.1,48,73,20,5.69,6.86,697,443,0
03/30/15,2015,89,89,6.547,1.74,266,8.75,17.5,28.9,7.6,52,92,20,5.42,6.43,632,378,0
03/31/15,2015,90,90,5.933,2.76,294,13.2,13.6,26.1,6.3,72,100,28,5.21,5.88,537,283,0
04/01/15,2015,91,91,6.744,3.56,339,14.21,15.4,26.1,4,41,88,10,6.69,6.58,485,231,0
04/02/15,2015,92,92,6.79,3.14,10,13.07,15.8,23.8,2,33,95,12,5.84,6.08,386,132,0
04/03/15,2015,93,93,6.78,1.73,303,10.35,15.8,27.4,5.6,29,65,9,5.62,6.76,551,297,0
04/04/15,2015,94,94,6.728,2.06,304,9.93,14.2,25.6,3.7,48,88,18,5.31,6.51,467,213,0
04/05/15,2015,95,95,6.497,2.26,299,10.45,10.4,19,1.2,71,98,30,4.1,4.99,257,3,0
04/06/15,2015,96,96,6.374,2.66,300,11.53,10,17.2,2.2,60,95,24,4.15,4.6,242,0,0
04/07/15,2015,97,97,2.487,1.85,316,8.75,8.6,14.2,2.3,81,93,50,2.02,2.65,176,0,9.91
04/08/15,2015,98,98,6.82,2.85,315,12.51,11.4,20.2,5,63,90,26,4.78,5.32,374,120,0
04/09/15,2015,99,99,6.265,1.63,288,8.72,12.1,22.5,2.8,57,91,19,4.42,5.28,374,120,0
04/10/15,2015,100,100,5.876,1.98,292,10,11.7,21,3.2,63,96,31,4.07,5.09,350,96,0
04/11/15,2015,101,101,6.879,2.33,320,12.74,13.9,26.7,3.3,58,94,16,5.74,6.84,482,228,0
04/12/15,2015,102,102,7.013,2.21,244,13.26,17.6,26.2,8.9,53,83,27,5.48,6.65,600,346,0
